# clients throughput-(op/sec) p50-latency-(ms) p99.9-latency-(ms)
12 15652.551386103449 0.618779 3.216258
24 17614.15932935862 1.152841 5.201323839000136
48 18807.045653659723 2.127888 10.780852911000165
96 19265.60933757639 4.191906 20.235860995000376
192 18951.921304763888 9.2416295 44.578219174000374
