# clients throughput-(op/sec) p50-latency-(ms) p99.9-latency-(ms)
3 14058.829677876713 0.195767 0.875501
6 20796.229389125 0.254427 1.2632568770000054
12 23728.238693272728 0.41097 3.370777432000011
24 24775.0750935 0.802525 5.600328738000181
48 28873.51432167376 1.332679 10.505703950000296
96 28301.852826845072 2.911729 15.787007932000005
192 29458.417981248225 3.30689 20.29895906000006
384 error
