  Fig   Protocol          File               Metric              Value        
 fig11   epaxos       FileWrite-1      p93.04000000000156   651.520838224022  
 fig11   epaxos       FileWrite-1      p93.05000000000156  651.6632554550223  
 fig11   epaxos       FileWrite-1      p93.06000000000157  651.8056726860224  
 fig11   epaxos       FileWrite-1      p93.07000000000157  651.9480899170223  
 fig11   epaxos       FileWrite-1      p93.08000000000158  652.0905071480224  
 fig11   epaxos       FileWrite-1      p93.09000000000158  652.2329243790224  
 fig11   epaxos       FileWrite-1      p93.10000000000159  652.3753416100225  
 fig11   epaxos       FileWrite-1      p93.11000000000159  652.6323734796507  
 fig11   epaxos       FileWrite-1      p93.1200000000016   652.9497288432508  
 fig11   epaxos       FileWrite-1      p93.1300000000016   653.2670842068509  
 fig11   epaxos       FileWrite-1      p93.1400000000016    653.584439570451  
 fig11   epaxos       FileWrite-1      p93.15000000000161   653.901794934051  
 fig11   epaxos       FileWrite-1      p93.16000000000162  654.2191502976516  
 fig11   epaxos       FileWrite-1      p93.17000000000162  654.5365056612511  
 fig11   epaxos       FileWrite-1      p93.18000000000163  654.8538610248518  
 fig11   epaxos       FileWrite-1      p93.19000000000163  655.1712163884519  
 fig11   epaxos       FileWrite-1      p93.20000000000164  655.4885717520519  
 fig11   epaxos       FileWrite-1      p93.21000000000164   655.805927115652  
 fig11   epaxos       FileWrite-1      p93.22000000000165  656.1232824792521  
 fig11   epaxos       FileWrite-1      p93.23000000000165  656.4406378428528  
 fig11   epaxos       FileWrite-1      p93.24000000000166  656.7579932064522  
 fig11   epaxos       FileWrite-1      p93.25000000000166  657.0753485700528  
 fig11   epaxos       FileWrite-1      p93.26000000000167  657.3927039336529  
 fig11   epaxos       FileWrite-1      p93.27000000000167   657.710059297253  
 fig11   epaxos       FileWrite-1      p93.28000000000168  658.0274146608531  
 fig11   epaxos       FileWrite-1      p93.29000000000168  658.3447700244532  
 fig11   epaxos       FileWrite-1      p93.30000000000169  658.6621253880538  
 fig11   epaxos       FileWrite-1      p93.3100000000017   658.9794807516539  
 fig11   epaxos       FileWrite-1      p93.3200000000017   659.2968361152539  
 fig11   epaxos       FileWrite-1      p93.3300000000017    659.614191478854  
 fig11   epaxos       FileWrite-1      p93.34000000000171   659.931546842454  
 fig11   epaxos       FileWrite-1      p93.35000000000171  660.2489022060541  
 fig11   epaxos       FileWrite-1      p93.36000000000172  660.5662575696548  
 fig11   epaxos       FileWrite-1      p93.37000000000172  660.8836129332549  
 fig11   epaxos       FileWrite-1      p93.38000000000173   661.200968296855  
 fig11   epaxos       FileWrite-1      p93.39000000000173   661.518323660455  
 fig11   epaxos       FileWrite-1      p93.40000000000174  661.8356790240551  
 fig11   epaxos       FileWrite-1      p93.41000000000174  662.1530343876551  
 fig11   epaxos       FileWrite-1      p93.42000000000175  662.4013866968161  
 fig11   epaxos       FileWrite-1      p93.43000000000175  662.4941300772163  
 fig11   epaxos       FileWrite-1      p93.44000000000176  662.5868734576163  
 fig11   epaxos       FileWrite-1      p93.45000000000176  662.6796168380164  
 fig11   epaxos       FileWrite-1      p93.46000000000177  662.7723602184163  
 fig11   epaxos       FileWrite-1      p93.47000000000178  662.8651035988164  
 fig11   epaxos       FileWrite-1      p93.48000000000178  662.9578469792166  
 fig11   epaxos       FileWrite-1      p93.49000000000179  663.0505903596164  
 fig11   epaxos       FileWrite-1      p93.50000000000179  663.1433337400166  
 fig11   epaxos       FileWrite-1      p93.5100000000018   663.2360771204167  
 fig11   epaxos       FileWrite-1      p93.5200000000018   663.3288205008167  
 fig11   epaxos       FileWrite-1      p93.5300000000018   663.4215638812167  
 fig11   epaxos       FileWrite-1      p93.54000000000181  663.5143072616168  
 fig11   epaxos       FileWrite-1      p93.55000000000182  663.6070506420169  
 fig11   epaxos       FileWrite-1      p93.56000000000182  663.6997940224169  
 fig11   epaxos       FileWrite-1      p93.57000000000183   663.792537402817  
 fig11   epaxos       FileWrite-1      p93.58000000000183   663.885280783217  
 fig11   epaxos       FileWrite-1      p93.59000000000184   663.978024163617  
 fig11   epaxos       FileWrite-1      p93.60000000000184   664.070767544017  
 fig11   epaxos       FileWrite-1      p93.61000000000185  664.1635109244171  
 fig11   epaxos       FileWrite-1      p93.62000000000185  664.2562543048173  
 fig11   epaxos       FileWrite-1      p93.63000000000186  664.3489976852172  
 fig11   epaxos       FileWrite-1      p93.64000000000186  664.4417410656173  
 fig11   epaxos       FileWrite-1      p93.65000000000187  664.5344844460174  
 fig11   epaxos       FileWrite-1      p93.66000000000187  664.6272278264173  
 fig11   epaxos       FileWrite-1      p93.67000000000188  664.7199712068174  
 fig11   epaxos       FileWrite-1      p93.68000000000188  664.8127145872176  
 fig11   epaxos       FileWrite-1      p93.69000000000189  664.9054579676174  
 fig11   epaxos       FileWrite-1      p93.70000000000189  664.9982013480176  
 fig11   epaxos       FileWrite-1      p93.7100000000019   665.0909447284176  
 fig11   epaxos       FileWrite-1      p93.7200000000019   665.1836881088176  
 fig11   epaxos       FileWrite-1      p93.73000000000191  665.2764314892178  
 fig11   epaxos       FileWrite-1      p93.74000000000191  665.5111555342459  
 fig11   epaxos       FileWrite-1      p93.75000000000192  665.7519114375464  
 fig11   epaxos       FileWrite-1      p93.76000000000192  665.9926673408464  
 fig11   epaxos       FileWrite-1      p93.77000000000193  666.2334232441465  
 fig11   epaxos       FileWrite-1      p93.78000000000193  666.4741791474465  
 fig11   epaxos       FileWrite-1      p93.79000000000194  666.7149350507466  
 fig11   epaxos       FileWrite-1      p93.80000000000194   666.955690954047  
 fig11   epaxos       FileWrite-1      p93.81000000000195   667.196446857347  
 fig11   epaxos       FileWrite-1      p93.82000000000195  667.4372027606471  
 fig11   epaxos       FileWrite-1      p93.83000000000196  667.6779586639472  
 fig11   epaxos       FileWrite-1      p93.84000000000196  667.9187145672472  
 fig11   epaxos       FileWrite-1      p93.85000000000197  668.1594704705473  
 fig11   epaxos       FileWrite-1      p93.86000000000197  668.4002263738473  
 fig11   epaxos       FileWrite-1      p93.87000000000198  668.6409822771478  
 fig11   epaxos       FileWrite-1      p93.88000000000198  668.8817381804479  
 fig11   epaxos       FileWrite-1      p93.89000000000199  669.1224940837479  
 fig11   epaxos       FileWrite-1       p93.900000000002    669.363249987048  
 fig11   epaxos       FileWrite-1       p93.910000000002    669.604005890348  
 fig11   epaxos       FileWrite-1       p93.920000000002   669.8447617936481  
 fig11   epaxos       FileWrite-1      p93.93000000000201  670.0855176969486  
 fig11   epaxos       FileWrite-1      p93.94000000000202  670.3262736002482  
 fig11   epaxos       FileWrite-1      p93.95000000000202  670.5670295035487  
 fig11   epaxos       FileWrite-1      p93.96000000000203  670.8077854068488  
 fig11   epaxos       FileWrite-1      p93.97000000000203  671.0485413101488  
 fig11   epaxos       FileWrite-1      p93.98000000000204  671.2892972134489  
 fig11   epaxos       FileWrite-1      p93.99000000000204   671.530053116749  
 fig11   epaxos       FileWrite-1      p94.00000000000205  671.7708090200495  
 fig11   epaxos       FileWrite-1      p94.01000000000205  672.0115649233495  
 fig11   epaxos       FileWrite-1      p94.02000000000206  672.2523208266496  
 fig11   epaxos       FileWrite-1      p94.03000000000206  672.4930767299496  
 fig11   epaxos       FileWrite-1      p94.04000000000207  672.7338326332497  
 fig11   epaxos       FileWrite-1      p94.05000000000207  672.8502227430077  
 fig11   epaxos       FileWrite-1      p94.06000000000208  672.8875289636077  
 fig11   epaxos       FileWrite-1      p94.07000000000208  672.9248351842077  
 fig11   epaxos       FileWrite-1      p94.08000000000209  672.9621414048078  
 fig11   epaxos       FileWrite-1      p94.09000000000209  672.9994476254078  
 fig11   epaxos       FileWrite-1      p94.1000000000021   673.0367538460077  
 fig11   epaxos       FileWrite-1      p94.1100000000021   673.0740600666078  
 fig11   epaxos       FileWrite-1      p94.12000000000211  673.1113662872078  
 fig11   epaxos       FileWrite-1      p94.13000000000211  673.1486725078079  
 fig11   epaxos       FileWrite-1      p94.14000000000212  673.1859787284079  
 fig11   epaxos       FileWrite-1      p94.15000000000212  673.2232849490078  
 fig11   epaxos       FileWrite-1      p94.16000000000213  673.2605911696079  
 fig11   epaxos       FileWrite-1      p94.17000000000213  673.2978973902079  
 fig11   epaxos       FileWrite-1      p94.18000000000214   673.335203610808  
 fig11   epaxos       FileWrite-1      p94.19000000000214  673.3725098314079  
 fig11   epaxos       FileWrite-1      p94.20000000000215  673.4098160520081  
 fig11   epaxos       FileWrite-1      p94.21000000000215   673.447122272608  
 fig11   epaxos       FileWrite-1      p94.22000000000216   673.484428493208  
 fig11   epaxos       FileWrite-1      p94.23000000000216  673.5217347138081  
 fig11   epaxos       FileWrite-1      p94.24000000000217   673.559040934408  
 fig11   epaxos       FileWrite-1      p94.25000000000217  673.5963471550082  
 fig11   epaxos       FileWrite-1      p94.26000000000218  673.6336533756081  
 fig11   epaxos       FileWrite-1      p94.27000000000218  673.6709595962081  
 fig11   epaxos       FileWrite-1      p94.28000000000219  673.7082658168082  
 fig11   epaxos       FileWrite-1      p94.2900000000022   673.7455720374081  
 fig11   epaxos       FileWrite-1      p94.3000000000022   673.7828782580083  
 fig11   epaxos       FileWrite-1      p94.3100000000022   673.8201844786082  
 fig11   epaxos       FileWrite-1      p94.32000000000221  673.8574906992083  
 fig11   epaxos       FileWrite-1      p94.33000000000222  673.8947969198083  
 fig11   epaxos       FileWrite-1      p94.34000000000222  673.9321031404082  
 fig11   epaxos       FileWrite-1      p94.35000000000223  673.9694093610083  
 fig11   epaxos       FileWrite-1      p94.36000000000223  674.0087709776101  
 fig11   epaxos       FileWrite-1      p94.37000000000224  674.0538828092101  
 fig11   epaxos       FileWrite-1      p94.38000000000224  674.0989946408101  
 fig11   epaxos       FileWrite-1      p94.39000000000225  674.1441064724102  
 fig11   epaxos       FileWrite-1      p94.40000000000225  674.1892183040102  
 fig11   epaxos       FileWrite-1      p94.41000000000226  674.2343301356102  
 fig11   epaxos       FileWrite-1      p94.42000000000226  674.2794419672102  
 fig11   epaxos       FileWrite-1      p94.43000000000227  674.3245537988103  
 fig11   epaxos       FileWrite-1      p94.44000000000227  674.3696656304102  
 fig11   epaxos       FileWrite-1      p94.45000000000228  674.4147774620103  
 fig11   epaxos       FileWrite-1      p94.46000000000228  674.4598892936103  
 fig11   epaxos       FileWrite-1      p94.47000000000229  674.5050011252104  
 fig11   epaxos       FileWrite-1      p94.48000000000229  674.5501129568104  
 fig11   epaxos       FileWrite-1      p94.4900000000023   674.5952247884104  
 fig11   epaxos       FileWrite-1      p94.5000000000023   674.6403366200104  
 fig11   epaxos       FileWrite-1      p94.51000000000231  674.6854484516103  
 fig11   epaxos       FileWrite-1      p94.52000000000231  674.7305602832105  
 fig11   epaxos       FileWrite-1      p94.53000000000232  674.7756721148105  
 fig11   epaxos       FileWrite-1      p94.54000000000232  674.8207839464105  
 fig11   epaxos       FileWrite-1      p94.55000000000233  674.8658957780106  
 fig11   epaxos       FileWrite-1      p94.56000000000233  674.9110076096105  
 fig11   epaxos       FileWrite-1      p94.57000000000234  674.9561194412106  
 fig11   epaxos       FileWrite-1      p94.58000000000234  675.0012312728106  
 fig11   epaxos       FileWrite-1      p94.59000000000235  675.0463431044107  
 fig11   epaxos       FileWrite-1      p94.60000000000235  675.0914549360107  
 fig11   epaxos       FileWrite-1      p94.61000000000236  675.1365667676107  
 fig11   epaxos       FileWrite-1      p94.62000000000236  675.1816785992107  
 fig11   epaxos       FileWrite-1      p94.63000000000237  675.2267904308106  
 fig11   epaxos       FileWrite-1      p94.64000000000237  675.2719022624108  
 fig11   epaxos       FileWrite-1      p94.65000000000238  675.3170140940108  
 fig11   epaxos       FileWrite-1      p94.66000000000238  675.3621259256108  
 fig11   epaxos       FileWrite-1      p94.67000000000239  675.4072377572109  
 fig11   epaxos       FileWrite-1      p94.6800000000024   675.8317863901099  
 fig11   epaxos       FileWrite-1      p94.6900000000024   676.2914199326099  
 fig11   epaxos       FileWrite-1      p94.7000000000024   676.7510534751109  
 fig11   epaxos       FileWrite-1      p94.71000000000241   677.210687017611  
 fig11   epaxos       FileWrite-1      p94.72000000000241   677.670320560111  
 fig11   epaxos       FileWrite-1      p94.73000000000242  678.1299541026111  
 fig11   epaxos       FileWrite-1      p94.74000000000242  678.5895876451112  
 fig11   epaxos       FileWrite-1      p94.75000000000243  679.0492211876121  
 fig11   epaxos       FileWrite-1      p94.76000000000244  679.5088547301115  
 fig11   epaxos       FileWrite-1      p94.77000000000244  679.9684882726124  
 fig11   epaxos       FileWrite-1      p94.78000000000245  680.4281218151125  
 fig11   epaxos       FileWrite-1      p94.79000000000245  680.8877553576126  
 fig11   epaxos       FileWrite-1      p94.80000000000246  681.3473889001127  
 fig11   epaxos       FileWrite-1      p94.81000000000246  681.8070224426128  
 fig11   epaxos       FileWrite-1      p94.82000000000247  682.2666559851137  
 fig11   epaxos       FileWrite-1      p94.83000000000247  682.7262895276131  
 fig11   epaxos       FileWrite-1      p94.84000000000248   683.185923070114  
 fig11   epaxos       FileWrite-1      p94.85000000000248  683.6455566126141  
 fig11   epaxos       FileWrite-1      p94.86000000000249  684.1051901551142  
 fig11   epaxos       FileWrite-1      p94.87000000000249  684.5648236976151  
 fig11   epaxos       FileWrite-1      p94.8800000000025   685.0244572401143  
 fig11   epaxos       FileWrite-1      p94.8900000000025   685.4840907826152  
 fig11   epaxos       FileWrite-1      p94.9000000000025   685.9437243251153  
 fig11   epaxos       FileWrite-1      p94.91000000000251  686.4033578676155  
 fig11   epaxos       FileWrite-1      p94.92000000000252  686.8629914101156  
 fig11   epaxos       FileWrite-1      p94.93000000000252  687.3226249526157  
 fig11   epaxos       FileWrite-1      p94.94000000000253  687.7822584951158  
 fig11   epaxos       FileWrite-1      p94.95000000000253  688.2418920376167  
 fig11   epaxos       FileWrite-1      p94.96000000000254  688.7015255801168  
 fig11   epaxos       FileWrite-1      p94.97000000000254  689.1611591226169  
 fig11   epaxos       FileWrite-1      p94.98000000000255   689.620792665117  
 fig11   epaxos       FileWrite-1      p94.99000000000255  690.1192396304345  
 fig11   epaxos       FileWrite-1      p95.00000000000256  690.6472791501348  
 fig11   epaxos       FileWrite-1      p95.01000000000256  691.1753186698348  
 fig11   epaxos       FileWrite-1      p95.02000000000257   691.703358189536  
 fig11   epaxos       FileWrite-1      p95.03000000000257   692.231397709236  
 fig11   epaxos       FileWrite-1      p95.04000000000258  692.7594372289361  
 fig11   epaxos       FileWrite-1      p95.05000000000258  693.2874767486363  
 fig11   epaxos       FileWrite-1      p95.06000000000259  693.8155162683364  
 fig11   epaxos       FileWrite-1      p95.0700000000026   694.3435557880374  
 fig11   epaxos       FileWrite-1      p95.0800000000026   694.8715953077367  
 fig11   epaxos       FileWrite-1      p95.0900000000026   695.3996348274377  
 fig11   epaxos       FileWrite-1      p95.10000000000261  695.9276743471378  
 fig11   epaxos       FileWrite-1      p95.11000000000261   696.455713866838  
 fig11   epaxos       FileWrite-1      p95.12000000000262   696.983753386539  
 fig11   epaxos       FileWrite-1      p95.13000000000262  697.5117929062382  
 fig11   epaxos       FileWrite-1      p95.14000000000263  698.0398324259393  
 fig11   epaxos       FileWrite-1      p95.15000000000263  698.5678719456394  
 fig11   epaxos       FileWrite-1      p95.16000000000264  699.0959114653396  
 fig11   epaxos       FileWrite-1      p95.17000000000264  699.6239509850396  
 fig11   epaxos       FileWrite-1      p95.18000000000265  700.1519905047397  
 fig11   epaxos       FileWrite-1      p95.19000000000266  700.6800300244399  
 fig11   epaxos       FileWrite-1      p95.20000000000266  701.2080695441409  
 fig11   epaxos       FileWrite-1      p95.21000000000267  701.7361090638411  
 fig11   epaxos       FileWrite-1      p95.22000000000267  702.2641485835412  
 fig11   epaxos       FileWrite-1      p95.23000000000268  702.7921881032413  
 fig11   epaxos       FileWrite-1      p95.24000000000268  703.3202276229415  
 fig11   epaxos       FileWrite-1      p95.25000000000269  703.8482671426416  
 fig11   epaxos       FileWrite-1      p95.26000000000269  704.3763066623417  
 fig11   epaxos       FileWrite-1      p95.2700000000027   704.9043461820428  
 fig11   epaxos       FileWrite-1      p95.2800000000027    705.432385701742  
 fig11   epaxos       FileWrite-1      p95.2900000000027   705.9604252214431  
 fig11   epaxos       FileWrite-1      p95.30000000000271  706.3732481850009  
 fig11   epaxos       FileWrite-1      p95.31000000000272  706.3762293995009  
 fig11   epaxos       FileWrite-1      p95.32000000000272  706.3792106140008  
 fig11   epaxos       FileWrite-1      p95.33000000000273  706.3821918285008  
 fig11   epaxos       FileWrite-1      p95.34000000000273  706.3851730430008  
 fig11   epaxos       FileWrite-1      p95.35000000000274  706.3881542575009  
 fig11   epaxos       FileWrite-1      p95.36000000000274  706.3911354720009  
 fig11   epaxos       FileWrite-1      p95.37000000000275  706.3941166865009  
 fig11   epaxos       FileWrite-1      p95.38000000000275  706.3970979010008  
 fig11   epaxos       FileWrite-1      p95.39000000000276  706.4000791155008  
 fig11   epaxos       FileWrite-1      p95.40000000000276  706.4030603300008  
 fig11   epaxos       FileWrite-1      p95.41000000000277  706.4060415445009  
 fig11   epaxos       FileWrite-1      p95.42000000000277  706.4090227590009  
 fig11   epaxos       FileWrite-1      p95.43000000000278  706.4120039735009  
 fig11   epaxos       FileWrite-1      p95.44000000000278  706.4149851880009  
 fig11   epaxos       FileWrite-1      p95.45000000000279  706.4179664025008  
 fig11   epaxos       FileWrite-1      p95.4600000000028   706.4209476170008  
 fig11   epaxos       FileWrite-1      p95.4700000000028   706.4239288315008  
 fig11   epaxos       FileWrite-1      p95.4800000000028   706.4269100460009  
 fig11   epaxos       FileWrite-1      p95.49000000000281  706.4298912605009  
 fig11   epaxos       FileWrite-1      p95.50000000000281  706.4328724750009  
 fig11   epaxos       FileWrite-1      p95.51000000000282  706.4358536895008  
 fig11   epaxos       FileWrite-1      p95.52000000000282  706.4388349040008  
 fig11   epaxos       FileWrite-1      p95.53000000000283  706.4418161185008  
 fig11   epaxos       FileWrite-1      p95.54000000000283  706.4447973330009  
 fig11   epaxos       FileWrite-1      p95.55000000000284  706.4477785475009  
 fig11   epaxos       FileWrite-1      p95.56000000000284  706.4507597620009  
 fig11   epaxos       FileWrite-1      p95.57000000000285  706.4537409765009  
 fig11   epaxos       FileWrite-1      p95.58000000000285  706.4567221910008  
 fig11   epaxos       FileWrite-1      p95.59000000000286  706.4597034055008  
 fig11   epaxos       FileWrite-1      p95.60000000000286  706.4626846200008  
 fig11   epaxos       FileWrite-1      p95.61000000000287  706.4656658345009  
 fig11   epaxos       FileWrite-1      p95.62000000000288  706.6005474294443  
 fig11   epaxos       FileWrite-1      p95.63000000000288  706.7548819581443  
 fig11   epaxos       FileWrite-1      p95.64000000000289  706.9092164868447  
 fig11   epaxos       FileWrite-1      p95.65000000000289  707.0635510155445  
 fig11   epaxos       FileWrite-1      p95.6600000000029   707.2178855442447  
 fig11   epaxos       FileWrite-1      p95.6700000000029   707.3722200729447  
 fig11   epaxos       FileWrite-1      p95.6800000000029   707.5265546016449  
 fig11   epaxos       FileWrite-1      p95.69000000000291  707.6808891303449  
 fig11   epaxos       FileWrite-1      p95.70000000000292  707.8352236590449  
 fig11   epaxos       FileWrite-1      p95.71000000000292  707.9895581877452  
 fig11   epaxos       FileWrite-1      p95.72000000000293  708.1438927164453  
 fig11   epaxos       FileWrite-1      p95.73000000000293  708.2982272451453  
 fig11   epaxos       FileWrite-1      p95.74000000000294  708.4525617738453  
 fig11   epaxos       FileWrite-1      p95.75000000000294  708.6068963025454  
 fig11   epaxos       FileWrite-1      p95.76000000000295  708.7612308312454  
 fig11   epaxos       FileWrite-1      p95.77000000000295  708.9155653599457  
 fig11   epaxos       FileWrite-1      p95.78000000000296  709.0698998886454  
 fig11   epaxos       FileWrite-1      p95.79000000000296  709.2242344173458  
 fig11   epaxos       FileWrite-1      p95.80000000000297  709.3785689460458  
 fig11   epaxos       FileWrite-1      p95.81000000000297  709.5329034747458  
 fig11   epaxos       FileWrite-1      p95.82000000000298  709.6872380034458  
 fig11   epaxos       FileWrite-1      p95.83000000000298   709.841572532146  
 fig11   epaxos       FileWrite-1      p95.84000000000299  709.9959070608462  
 fig11   epaxos       FileWrite-1      p95.85000000000299   710.150241589546  
 fig11   epaxos       FileWrite-1       p95.860000000003   710.3045761182462  
 fig11   epaxos       FileWrite-1       p95.870000000003   710.4589106469464  
 fig11   epaxos       FileWrite-1      p95.88000000000301  710.6132451756464  
 fig11   epaxos       FileWrite-1      p95.89000000000301  710.7675797043466  
 fig11   epaxos       FileWrite-1      p95.90000000000302  710.9219142330464  
 fig11   epaxos       FileWrite-1      p95.91000000000302  711.0762487617468  
 fig11   epaxos       FileWrite-1      p95.92000000000303  711.2305832904468  
 fig11   epaxos       FileWrite-1      p95.93000000000303  711.3246016943119  
 fig11   epaxos       FileWrite-1      p95.94000000000304  711.3637215894119  
 fig11   epaxos       FileWrite-1      p95.95000000000304  711.4028414845119  
 fig11   epaxos       FileWrite-1      p95.96000000000305  711.4419613796119  
 fig11   epaxos       FileWrite-1      p95.97000000000305   711.481081274712  
 fig11   epaxos       FileWrite-1      p95.98000000000306   711.520201169812  
 fig11   epaxos       FileWrite-1      p95.99000000000306   711.559321064912  
 fig11   epaxos       FileWrite-1      p96.00000000000307   711.598440960012  
 fig11   epaxos       FileWrite-1      p96.01000000000307   711.637560855112  
 fig11   epaxos       FileWrite-1      p96.02000000000308   711.676680750212  
 fig11   epaxos       FileWrite-1      p96.03000000000308   711.715800645312  
 fig11   epaxos       FileWrite-1      p96.04000000000309  711.7549205404121  
 fig11   epaxos       FileWrite-1      p96.0500000000031   711.7940404355121  
 fig11   epaxos       FileWrite-1      p96.0600000000031   711.8331603306121  
 fig11   epaxos       FileWrite-1      p96.0700000000031   711.8722802257121  
 fig11   epaxos       FileWrite-1      p96.08000000000311  711.9114001208121  
 fig11   epaxos       FileWrite-1      p96.09000000000312  711.9505200159122  
 fig11   epaxos       FileWrite-1      p96.10000000000312  711.9896399110121  
 fig11   epaxos       FileWrite-1      p96.11000000000313  712.0287598061122  
 fig11   epaxos       FileWrite-1      p96.12000000000313  712.0678797012122  
 fig11   epaxos       FileWrite-1      p96.13000000000314  712.1069995963122  
 fig11   epaxos       FileWrite-1      p96.14000000000314  712.1461194914123  
 fig11   epaxos       FileWrite-1      p96.15000000000315  712.1852393865123  
 fig11   epaxos       FileWrite-1      p96.16000000000315  712.2243592816124  
 fig11   epaxos       FileWrite-1      p96.17000000000316  712.2634791767124  
 fig11   epaxos       FileWrite-1      p96.18000000000316  712.3025990718123  
 fig11   epaxos       FileWrite-1      p96.19000000000317  712.3417189669124  
 fig11   epaxos       FileWrite-1      p96.20000000000317  712.3808388620124  
 fig11   epaxos       FileWrite-1      p96.21000000000318  712.4199587571125  
 fig11   epaxos       FileWrite-1      p96.22000000000318  712.4590786522124  
 fig11   epaxos       FileWrite-1      p96.23000000000319  712.4981985473124  
 fig11   epaxos       FileWrite-1      p96.24000000000319  712.7531476844052  
 fig11   epaxos       FileWrite-1      p96.2500000000032   714.0217234379055  
 fig11   epaxos       FileWrite-1      p96.2600000000032   715.2902991914058  
 fig11   epaxos       FileWrite-1      p96.27000000000321   716.558874944906  
 fig11   epaxos       FileWrite-1      p96.28000000000321  717.8274506984064  
 fig11   epaxos       FileWrite-1      p96.29000000000322   719.096026451909  
 fig11   epaxos       FileWrite-1      p96.30000000000322  720.3646022054093  
 fig11   epaxos       FileWrite-1      p96.31000000000323  721.6331779589095  
 fig11   epaxos       FileWrite-1      p96.32000000000323  722.9017537124098  
 fig11   epaxos       FileWrite-1      p96.33000000000324  724.1703294659101  
 fig11   epaxos       FileWrite-1      p96.34000000000324  725.4389052194127  
 fig11   epaxos       FileWrite-1      p96.35000000000325  726.7074809729107  
 fig11   epaxos       FileWrite-1      p96.36000000000325  727.9760567264133  
 fig11   epaxos       FileWrite-1      p96.37000000000326  729.2446324799135  
 fig11   epaxos       FileWrite-1      p96.38000000000326  730.5132082334138  
 fig11   epaxos       FileWrite-1      p96.39000000000327  731.7817839869142  
 fig11   epaxos       FileWrite-1      p96.40000000000327  733.0503597404145  
 fig11   epaxos       FileWrite-1      p96.41000000000328   734.318935493917  
 fig11   epaxos       FileWrite-1      p96.42000000000328  735.5875112474173  
 fig11   epaxos       FileWrite-1      p96.43000000000329  736.8560870009176  
 fig11   epaxos       FileWrite-1      p96.4400000000033   738.1246627544178  
 fig11   epaxos       FileWrite-1      p96.4500000000033   739.3932385079182  
 fig11   epaxos       FileWrite-1      p96.4600000000033   740.6618142614208  
 fig11   epaxos       FileWrite-1      p96.47000000000331  741.9303900149188  
 fig11   epaxos       FileWrite-1      p96.48000000000332  743.1989657684213  
 fig11   epaxos       FileWrite-1      p96.49000000000332  744.4675415219216  
 fig11   epaxos       FileWrite-1      p96.50000000000333   745.736117275422  
 fig11   epaxos       FileWrite-1      p96.51000000000333  747.0046930289222  
 fig11   epaxos       FileWrite-1      p96.52000000000334  748.2732687824225  
 fig11   epaxos       FileWrite-1      p96.53000000000334  749.5418445359228  
 fig11   epaxos       FileWrite-1      p96.54000000000335  750.8104202894253  
 fig11   epaxos       FileWrite-1      p96.55000000000335  752.0789960429256  
 fig11   epaxos       FileWrite-1      p96.56000000000336  752.5631411777077  
 fig11   epaxos       FileWrite-1      p96.57000000000336  752.8838632673078  
 fig11   epaxos       FileWrite-1      p96.58000000000337  753.2045853569078  
 fig11   epaxos       FileWrite-1      p96.59000000000337  753.5253074465079  
 fig11   epaxos       FileWrite-1      p96.60000000000338  753.8460295361081  
 fig11   epaxos       FileWrite-1      p96.61000000000338  754.1667516257087  
 fig11   epaxos       FileWrite-1      p96.62000000000339  754.4874737153087  
 fig11   epaxos       FileWrite-1      p96.63000000000339  754.8081958049088  
 fig11   epaxos       FileWrite-1      p96.6400000000034   755.1289178945088  
 fig11   epaxos       FileWrite-1      p96.6500000000034    755.449639984109  
 fig11   epaxos       FileWrite-1      p96.66000000000341  755.7703620737096  
 fig11   epaxos       FileWrite-1      p96.67000000000341  756.0910841633091  
 fig11   epaxos       FileWrite-1      p96.68000000000342  756.4118062529097  
 fig11   epaxos       FileWrite-1      p96.69000000000342  756.7325283425098  
 fig11   epaxos       FileWrite-1      p96.70000000000343  757.0532504321098  
 fig11   epaxos       FileWrite-1      p96.71000000000343  757.3739725217106  
 fig11   epaxos       FileWrite-1      p96.72000000000344  757.6946946113101  
 fig11   epaxos       FileWrite-1      p96.73000000000344  758.0154167009107  
 fig11   epaxos       FileWrite-1      p96.74000000000345  758.3361387905107  
 fig11   epaxos       FileWrite-1      p96.75000000000345  758.6568608801108  
 fig11   epaxos       FileWrite-1      p96.76000000000346   758.977582969711  
 fig11   epaxos       FileWrite-1      p96.77000000000346   759.298305059311  
 fig11   epaxos       FileWrite-1      p96.78000000000347  759.6190271489111  
 fig11   epaxos       FileWrite-1      p96.79000000000347  759.9397492385117  
 fig11   epaxos       FileWrite-1      p96.80000000000348  760.2604713281117  
 fig11   epaxos       FileWrite-1      p96.81000000000348  760.5811934177119  
 fig11   epaxos       FileWrite-1      p96.82000000000349   760.901915507312  
 fig11   epaxos       FileWrite-1      p96.8300000000035    761.222637596912  
 fig11   epaxos       FileWrite-1      p96.8400000000035   761.5433596865121  
 fig11   epaxos       FileWrite-1      p96.8500000000035   761.8640817761121  
 fig11   epaxos       FileWrite-1      p96.86000000000351  762.1848038657129  
 fig11   epaxos       FileWrite-1      p96.87000000000351  762.9394256477311  
 fig11   epaxos       FileWrite-1      p96.88000000000352  764.1648144156314  
 fig11   epaxos       FileWrite-1      p96.89000000000352  765.3902031835318  
 fig11   epaxos       FileWrite-1      p96.90000000000353   766.615591951432  
 fig11   epaxos       FileWrite-1      p96.91000000000354  767.8409807193344  
 fig11   epaxos       FileWrite-1      p96.92000000000354  769.0663694872326  
