72.40419558,0.01
72.4284052,0.02
72.44611214000001,0.03
72.45926831999999,0.04
72.47055900000001,0.05
72.48006724,0.06
72.48851306,0.07
72.49674208,0.08
72.5040952,0.09
72.511273,0.1
72.51805256,0.11
72.52461124,0.12
72.53092994,0.13
72.53679412,0.14
72.5424667,0.15
72.54825527999999,0.16
72.55393786,0.17
72.55973644,0.18
72.56520802,0.19
72.5708138,0.2
72.57555818,0.21
72.580777,0.22
72.586018,0.23
72.59112520000001,0.24
72.596361,0.25
72.60146756,0.26
72.60675094,0.27
72.61147716,0.28
72.61668564,0.29
72.6216272,0.3
72.6266238,0.31
72.63159376,0.32
72.63612126000001,0.33
72.64119792,0.34
72.6466309,0.35
72.65161552,0.36
72.65666,0.37
72.661779,0.38
72.66731862,0.39
72.672649,0.4
72.67792956,0.41
72.683209,0.42
72.68883846,0.43
72.69448616,0.44
72.7001219,0.45
72.70612847999999,0.46
72.71241325999999,0.47
72.71851256,0.48
72.7251612,0.49
72.731469,0.5
72.73790695999999,0.51
72.74514316,0.52
72.75222306,0.53
72.75950876,0.54
72.76745489999999,0.55
72.77606775999999,0.56
72.78501078,0.57
72.79426196,0.58
72.80410898,0.59
72.8150134,0.6
72.8266718,0.61
72.83894056000001,0.62
72.8523868,0.63
72.86659551999999,0.64
72.8813614,0.65
72.90017144,0.66
72.92280886,0.67
72.94887143999999,0.68
72.98057876,0.69
73.0223606,0.7
73.08280522,0.71
73.19169172,0.72
88.4192268,0.73
88.48285940000001,0.74
88.51556500000001,0.75
88.53814904000001,0.76
88.55761466,0.77
88.575778,0.78
88.5914808,0.79
88.6061358,0.8
88.6205418,0.81
88.63364304,0.82
88.64668413999999,0.83
88.6590308,0.84
88.6708917,0.85
88.68299676000001,0.86
88.6940784,0.87
88.705893,0.88
88.71833096,0.89
88.7309922,0.9
88.74480969999999,0.91
88.76034544,0.92
88.77819056,0.93
88.79876208,0.94
88.82153059999999,0.95
88.85194247999999,0.96
88.8910156,0.97
88.944172,0.98
89.04082328,0.99
